gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
25,101;356,514;27,447;118727805;168125;8457119;227;73973
23,852;350,933;25,258;118559680;192645;8432018;215;73746
21,624;346,642;20,55;118367035;64358;8408166;189;73531
22,583;347,426;25,254;118302677;83507;8386542;215;73342
23,637;354,287;25,164;118219170;189268;8363959;217;73127
24,898;356,004;24,36;118029902;163056;8340322;197;72910
27,259;358,251;27,513;117866846;143025;8315424;203;72713
28,662;359,56;28,859;117723821;161504;8288165;196;72510
27,824;357,832;28,255;117562317;183785;8259503;187;72314
25,304;347,783;28,852;117378532;66812;8231679;200;72127
27,474;358,326;30,584;117311720;88300;8206375;203;71927
28,193;361,422;32,201;117223420;214996;8178901;198;71724
29,482;362,832;34,743;117008424;177095;8150708;228;71526
29,764;363,238;33,366;116831329;167832;8121226;246;71298
29,796;361,533;29,837;116663497;177263;8091462;224;71052
28,678;356,643;29,296;116486234;205283;8061666;217;70828
23,948;347,362;26,175;116280951;70738;8032988;201;70611
23,096;344,163;28,632;116210213;86994;8009040;203;70410
24,409;351,373;30,846;116123219;99423;7985944;209;70207
25,528;354,58;27,651;116023796;161935;7961535;229;69998
26,896;355,947;30,542;115861861;187267;7936007;210;69769
29,643;356,636;31,467;115674594;194083;7909111;215;69559
27,663;351,152;30,824;115480511;224799;7879468;232;69344
24,792;338,536;24,403;115255712;91115;7851805;195;69112
26,217;351,184;27,663;115164597;123898;7827013;217;68917
28,192;363,553;30,302;115040699;232925;7800796;228;68700
28,465;362,213;29,16;114807774;187264;7772604;198;68472
29,76;361,35;28,803;114620510;194818;7744139;214;68274
30,862;360,849;27,352;114425692;218058;7714379;223;68060
29,24;351,165;26,539;114207634;236122;7683517;214;67837
24,114;341,426;24,403;113971512;109276;7654277;186;67623
28,537;357,167;25,611;113862236;152703;7630163;212;67437
30,694;363,536;25,513;113709533;291276;7601626;181;67225
